Category	Text
Consulta	¿Tienen paquetes para Machu Picchu?
Consulta	Quisiera información sobre los tours a la selva amazónica.
Consulta	¿Cuál es el precio de un viaje a Cancún para dos personas?
Consulta	Necesito saber los requisitos de visa para viajar a Estados Unidos.
Consulta	¿Hay descuentos para grupos en los paquetes a Europa?
Consulta	Me gustaría reservar un hotel en Cusco para la primera semana de agosto.
Consulta	¿Cuáles son las opciones de vuelo más económicas a Madrid?
Consulta	¿Puedo pagar a plazos un crucero por el Caribe?
Consulta	Información sobre paquetes familiares a Disney.
Consulta	¿Tienen disponibilidad para el tour a Nazca el próximo fin de semana?
Consulta	Quiero saber si incluyen seguro de viaje en sus paquetes.
Consulta	¿Es posible personalizar un itinerario para un viaje a la Patagonia?
Consulta	¿Ofrecen traslados desde el aeropuerto al hotel?
Consulta	¿A qué hora sale el primer bus a Paracas?
Consulta	¿Cuánto cuesta el tour por el Cañón del Colca?
Consulta	¿Qué atracciones se pueden visitar en Arequipa?
Consulta	Estoy buscando un paquete todo incluido en Punta Cana.
Consulta	¿Hay vuelos directos a Cartagena desde Lima?
Consulta	¿Tienen tours de aventura en Huaraz?
Consulta	Me interesan los paquetes para luna de miel en el Caribe.
Consulta	¿Cuál es la mejor época para viajar a la Sierra de la Plata?
Consulta	¿Se puede extender la duración de un paquete turístico?
Consulta	¿Qué actividades hay para niños en los hoteles de playa?
Consulta	¿Necesito alguna vacuna para viajar a Tailandia?
Consulta	¿Cómo puedo contactar a un asesor de viajes?
Consulta	¿Dónde están ubicadas sus oficinas?
Consulta	¿Cuál es su horario de atención?
Consulta	¿Aceptan tarjetas de crédito como forma de pago?
Consulta	¿Es necesario un pasaporte para viajar dentro de Sudamérica?
Consulta	¿Tienen promociones para Semana Santa?
Consulta	Quisiera un presupuesto para un viaje a Galápagos.
Consulta	¿Pueden recomendarme un destino para una escapada de fin de semana?
Consulta	¿Qué tipo de moneda se usa en Chile?
Consulta	¿Ofrecen paquetes para el mundial de fútbol?
Consulta	¿Hay tours gastronómicos en Lima?
Consulta	¿Cómo hago para cancelar una reserva?
Consulta	¿Cuál es la política de devolución de dinero?
Consulta	¿Tienen convenios con alguna aerolínea?
Consulta	¿Puedo hacer un cambio en mi itinerario de vuelo?
Consulta	¿Cuánto tiempo antes debo reservar para obtener mejores precios?
Consulta	¿Hay opciones de viaje para personas con movilidad reducida?
Consulta	¿Se pueden agregar noches extras a un paquete?
Consulta	¿Cómo puedo obtener una factura por mi compra?
Consulta	¿Ofrecen servicio de alquiler de autos?
Consulta	¿Tienen guías turísticos bilingües?
Consulta	¿Es seguro viajar a Colombia en este momento?
Consulta	¿Cuál es el voltaje en Argentina?
Consulta	¿Hay paquetes de viaje con alojamiento en hoteles boutique?
Consulta	¿Cómo puedo verificar el estado de mi reserva?
Consulta	¿Tienen programas de fidelización para clientes frecuentes?
Consulta	¿Cuáles son los destinos más populares para este año?
Consulta	¿Ofrecen paquetes para grupos escolares?
Consulta	¿Aceptan pagos con PayPal?
Consulta	¿Se puede incluir el desayuno en la reserva del hotel?
Consulta	¿Tienen alguna oferta para viajar en temporada baja?
Consulta	¿Cuál es el límite de equipaje en vuelos internacionales?
Consulta	¿Puedo llevar a mi mascota en el avión?
Consulta	¿Necesito adaptadores de corriente para viajar a Europa?
Consulta	¿Hay tours que incluyan visitas a viñedos?
Consulta	¿Cómo llego al aeropuerto desde el centro de la ciudad?
Consulta	¿Tienen paquetes para el festival de la Candelaria?
Consulta	¿Me pueden enviar información por correo electrónico?
Consulta	¿Cuál es la edad mínima para viajar solo?
Consulta	¿Hay opciones de viaje para mochileros?
Consulta	¿Cómo se tramita la visa de turista para Cuba?
Consulta	¿Tienen tours para ver auroras boreales?
Consulta	¿Cuánto tiempo dura el viaje en tren a Ollantaytambo?
Consulta	¿Cuáles son las restricciones de viaje por COVID-19?
Consulta	¿Ofrecen asistencia en destino?
Consulta	¿Cómo se gestiona una emergencia médica en el extranjero?
Consulta	¿Tienen vuelos a islas paradisíacas?
Consulta	¿Puedo hacer un pago parcial y luego el resto?
Consulta	¿Hay alguna excursión a la selva cerca de Tarapoto?
Consulta	¿Cuál es la diferencia entre un paquete turístico y un viaje a medida?
Consulta	¿Puedo reservar solo el vuelo?
Consulta	¿Tienen seguro de cancelación de viaje?
Consulta	¿Qué tipo de actividades hay en los cruceros?
Consulta	¿Cómo puedo cambiar la fecha de mi vuelo?
Consulta	¿Hay wifi en los hoteles que ofrecen?
Consulta	¿Qué documentos necesito para viajar con menores de edad?
Consulta	¿Tienen tours a los glaciares en Argentina?
Consulta	¿Cuál es el mejor aeropuerto para llegar a Miami?
Consulta	¿Ofrecen paquetes para el avistamiento de ballenas?
Consulta	¿Pueden darme un número de teléfono de contacto en caso de emergencia?
Consulta	¿Hay algún límite de edad para ciertas actividades?
Consulta	¿Cuánto tiempo se necesita para visitar el Valle Sagrado?
Consulta	¿Tienen tours en bicicleta?
Consulta	¿Cómo funciona el sistema de propinas en los tours?
Consulta	¿Ofrecen opciones de comida vegetariana en los tours?
Consulta	¿Es necesario reservar con mucha antelación para temporada alta?
Consulta	¿Cuál es la política de equipaje en vuelos de conexión?
Consulta	¿Tienen paquetes para visitar parques nacionales?
Consulta	¿Puedo viajar con una copia del pasaporte?
Consulta	¿Cómo puedo hacer una queja formal?
Consulta	¿Qué pasa si mi vuelo se retrasa o cancela?
Consulta	¿Tienen alguna sucursal en otra ciudad?
Consulta	¿Ofrecen servicio de atención al cliente las 24 horas?
Consulta	¿Cuál es el mejor momento para visitar la Muralla China?
Consulta	¿Hay tours que incluyan visitas a sitios arqueológicos?
Consulta	¿Qué tipo de ropa debo llevar para un viaje a la selva?
Consulta	¿Tienen opciones de alojamiento económico?
Consulta	¿Pueden ayudarme con la reserva de un coche?
Consulta	¿Cómo puedo obtener un reembolso si no puedo viajar?
Consulta	¿Ofrecen tours de fotografía?
Consulta	¿Cuánto dura el viaje en tren a Puno?
Consulta	¿Hay restaurantes cerca del hotel que me recomiendan?
Consulta	¿Puedo reservar solo el alojamiento?
Consulta	¿Tienen tours para ver aves?
Consulta	¿Cuál es el tamaño máximo del equipaje de mano?
Consulta	¿Necesito un permiso internacional de conducir?
Consulta	¿Hay paquetes de viaje para solteros?
Consulta	¿Cómo se gestionan las propinas para los guías?
Consulta	¿Ofrecen descuentos para estudiantes?
Consulta	¿Qué documentos necesito para viajar a México?
Consulta	¿Tienen tours que incluyan deportes acuáticos?
Consulta	¿Cuál es la mejor época para ir a esquiar en la cordillera?
Consulta	¿Hay paquetes con vuelos directos a Europa?
Consulta	¿Puedo pagar con dos tarjetas diferentes?
Consulta	¿Tienen alguna recomendación de restaurantes en Barcelona?
Consulta	¿Cómo puedo obtener una cotización sin compromiso?
Consulta	¿Ofrecen tours privados?
Consulta	¿Cuánto tiempo dura el tour a las Islas Ballestas?
Consulta	¿Hay opciones de viaje para personas mayores?
Consulta	¿Qué sucede si pierdo mi conexión de vuelo?
Consulta	¿Tienen seguro de viaje con cobertura médica?
Consulta	¿Puedo agregar un destino extra a un paquete?
Consulta	¿Cómo se obtiene el boarding pass?
Consulta	¿Hay excursiones a caballo?
Consulta	¿Qué debo hacer si pierdo mi pasaporte en el extranjero?
Consulta	¿Tienen paquetes para Año Nuevo?
Consulta	¿Cuál es el horario de check-in y check-out en los hoteles?
Consulta	¿Ofrecen asistencia con trámites de visa?
Consulta	¿Se puede llevar comida en el equipaje de mano?
Consulta	¿Tienen tours de ciclismo?
Consulta	¿Cuál es el mejor lugar para cambiar moneda?
Consulta	¿Hay opciones de vuelo con aerolíneas de bajo costo?
Consulta	¿Pueden enviarme un folleto con sus paquetes?
Consulta	¿Cómo puedo hacer una reserva telefónica?
Consulta	¿Ofrecen paquetes para viajes de negocios?
Consulta	¿Tienen tours para ver vida silvestre?
Consulta	¿Cuál es la mejor época para viajar a Japón?
Consulta	¿Hay descuentos para niños?
Consulta	¿Puedo llevar medicamentos en el avión?
Consulta	¿Tienen paquetes de viaje que incluyan conciertos o eventos?
Consulta	¿Cómo puedo acceder a mi itinerario en línea?
Consulta	¿Ofrecen tours en globo aerostático?
Consulta	¿Cuánto cuesta un viaje a las Cataratas del Iguazú?
Consulta	¿Hay paquetes con hoteles de lujo?
Consulta	¿Pueden recomendarme un guía turístico local?
Consulta	¿Tienen opciones de viaje con trenes panorámicos?
Consulta	¿Cómo se manejan los problemas de equipaje?
Consulta	¿Ofrecen paquetes para bodas de destino?
Consulta	¿Tienen tours de buceo?
Consulta	¿Cuál es el mejor momento para visitar el Parque Nacional Torres del Paine?
Consulta	¿Hay tours que incluyan visitas a mercados locales?
Consulta	¿Puedo reservar un paquete para una sola persona?
Consulta	¿Cómo se consigue una tarjeta SIM local en el extranjero?
Consulta	¿Ofrecen paquetes con clases de cocina?
Consulta	¿Tienen tours en kayak?
Consulta	¿Cuál es el clima en Buenos Aires en diciembre?
Consulta	¿Hay descuentos para militares?
Consulta	¿Puedo cambiar el nombre en la reserva de mi vuelo?
Consulta	¿Tienen alguna recomendación para evitar el mal de altura?
Consulta	¿Cómo puedo pagar desde el extranjero?
Consulta	¿Ofrecen paquetes de voluntariado?
Consulta	¿Tienen tours a cuevas?
Consulta	¿Cuál es el costo promedio de una comida en Roma?
Consulta	¿Hay opciones de viaje para personas con dietas especiales?
Consulta	¿Pueden decirme si el hotel tiene piscina?
Consulta	¿Tienen paquetes con cruceros fluviales?
Consulta	¿Cómo se gestiona el equipaje extraviado?
Consulta	¿Ofrecen paquetes para congresos?
Consulta	¿Tienen tours en helicóptero?
Consulta	¿Cuál es el idioma oficial en Brasil?
Consulta	¿Hay descuentos para jubilados?
Consulta	¿Puedo viajar con una mochila grande?
Consulta	¿Tienen información sobre el clima en Vietnam?
Consulta	¿Cómo puedo solicitar un cambio de asiento en el vuelo?
Consulta	¿Ofrecen tours de senderismo?
Consulta	¿Tienen paquetes con safari en África?
Consulta	¿Cuál es la mejor época para visitar la Gran Muralla China?
Consulta	¿Hay opciones de viaje para estudiantes Erasmus?
Consulta	¿Pueden organizar un tour para mi familia?
Consulta	¿Tienen seguro de cancelación por cualquier motivo?
Consulta	¿Cómo se confirman los vuelos?
Consulta	¿Ofrecen tours de fotografía nocturna?
Consulta	¿Tienen paquetes con viajes en tren de lujo?
Consulta	¿Cuál es la moneda de Japón?
Consulta	¿Hay descuentos para empleados de empresas?
Consulta	¿Puedo reservar un tour en el último minuto?
Consulta	¿Tienen paquetes para viajes de incentivos?
Consulta	¿Cómo puedo comunicarme con ustedes si estoy en el extranjero?
Consulta	¿Ofrecen tours de observación de estrellas?
Consulta	¿Tienen opciones de viaje con campamentos?
Consulta	¿Cuál es el prefijo telefónico de Francia?
Consulta	¿Hay descuentos para socios de clubes?
Consulta	¿Puedo llevar mi propia comida en el vuelo?
Consulta	¿Tienen información sobre las costumbres locales?
Consulta	¿Cómo se hace el check-in en línea?
Consulta	¿Ofrecen tours de escalada?
Consulta	¿Tienen paquetes con clases de idiomas?
Consulta	¿Cuál es el costo de un taxi desde el aeropuerto de Lima al centro?
Consulta	¿Hay opciones de viaje para lunas de miel económicas?
Consulta	¿Pueden recomendarme hoteles pet-friendly?
Consulta	¿Tienen paquetes con actividades de bienestar?
Consulta	¿Cómo se manejan los retrasos en los tours?
Consulta	¿Ofrecen asistencia con la planificación de eventos?
Consulta	¿Tienen tours de surf?
Consulta	¿Cuál es la diferencia horaria con Europa?
Consulta	¿Hay descuentos para reservas anticipadas?
Consulta	¿Puedo pagar en efectivo en sus oficinas?
Consulta	¿Tienen paquetes de viaje con paracaidismo?
Consulta	¿Cómo puedo acceder a los detalles de mi reserva?
Consulta	¿Ofrecen tours de avistamiento de delfines?
Consulta	¿Tienen opciones de viaje con estancias largas?
Consulta	¿Cuál es el tamaño permitido para el equipaje de mano en LATAM?
Consulta	¿Hay paquetes con seguro de viaje incluido?
Consulta	¿Pueden darme un ejemplo de itinerario para un viaje a Italia?
Consulta	¿Tienen tours en vehículos 4x4?
Consulta	¿Cómo puedo hacer una reclamación?
Consulta	¿Ofrecen asistencia para viajeros con necesidades especiales?
Consulta	¿Tienen paquetes con clases de baile?
Consulta	¿Cuál es el precio de un billete de tren de Cusco a Machu Picchu?
Consulta	¿Hay descuentos para estudiantes universitarios?
Consulta	¿Puedo añadir una noche extra en el hotel a mi paquete?
Consulta	¿Tienen paquetes con visita a parques temáticos?
Consulta	¿Cómo se gestiona el transporte interno en los destinos?
Consulta	¿Ofrecen tours de fotografía de paisaje?
Consulta	¿Tienen opciones de viaje con alojamiento en cabañas?
Consulta	¿Cuál es la mejor manera de llegar al centro de Londres desde Heathrow?
Consulta	¿Hay paquetes con visitas a museos?
Consulta	¿Pueden proporcionar un número de emergencia?
Consulta	¿Tienen paquetes de viaje que incluyan entradas a eventos deportivos?
Consulta	¿Cómo se manejan las cancelaciones de última hora?
Consulta	¿Ofrecen tours en bicicleta eléctrica?
Consulta	¿Tienen opciones de viaje con traslados privados?
Consulta	¿Cuál es el costo de una excursión de un día a las Líneas de Nazca?
Consulta	¿Hay descuentos para grupos grandes?
Consulta	¿Puedo cambiar mi asiento en el avión sin costo adicional?
Consulta	¿Tienen paquetes de viaje con avistamiento de aves?
Consulta	¿Cómo puedo obtener un comprobante de mi reserva?
Queja	No me respondieron el correo anterior.
Queja	El vuelo se retrasó más de tres horas sin justificación.
Queja	La habitación del hotel estaba sucia y no la limpiaron.
Queja	El guía turístico llegó tarde y el tour fue apresurado.
Queja	Me cobraron de más por un servicio que no utilicé.
Queja	Mi equipaje se perdió y la aerolínea no me da soluciones.
Queja	La comida del crucero era de muy baja calidad.
Queja	No recibí la confirmación de mi reserva.
Queja	El transporte prometido no apareció en el aeropuerto.
Queja	Las fotos del hotel no correspondían con la realidad.
Queja	El aire acondicionado de la habitación no funcionaba.
Queja	La conexión a internet en el hotel era pésima.
Queja	No se cumplió lo estipulado en el itinerario del viaje.
Queja	La atención al cliente por teléfono es inaceptable.
Queja	Me dejaron esperando mucho tiempo en la fila.
Queja	El asiento del avión estaba roto y muy incómodo.
Queja	No hubo suficiente tiempo para visitar todas las atracciones.
Queja	La piscina del hotel estaba fuera de servicio.
Queja	El personal fue grosero y poco atento.
Queja	El traslado al hotel fue un caos, tardamos horas.
Queja	No me informaron sobre los cargos extras ocultos.
Queja	La excursión fue cancelada sin previo aviso.
Queja	El hotel no tenía la categoría que había reservado.
Queja	El autobús turístico estaba sucio y descuidado.
Queja	Las almohadas del hotel eran durísimas.
Queja	No pude dormir por el ruido de la calle.
Queja	El desayuno incluido era muy pobre.
Queja	La habitación no tenía vista al mar como me prometieron.
Queja	La agencia no me avisó de un cambio importante en mi vuelo.
Queja	El precio del paquete no se correspondía con lo ofertado.
Queja	Tuve problemas con mi visa por información incorrecta.
Queja	Me siento engañado con la publicidad.
Queja	El seguro de viaje no cubrió lo que debía.
Queja	La calidad del servicio ha bajado mucho.
Queja	No me ofrecieron alternativas ante un problema.
Queja	La ducha del baño no tenía buena presión.
Queja	El check-in fue extremadamente lento.
Queja	La recepción no me ayudó con mi problema.
Queja	El tour fue muy aburrido y sin interés.
Queja	La guía turística no hablaba bien español.
Queja	Me dieron una habitación para fumadores y yo no fumo.
Queja	El control de plagas del hotel es deficiente, vi insectos.
Queja	Las toallas del baño estaban manchadas.
Queja	El servicio de habitaciones tardó una eternidad.
Queja	Mi tarjeta de crédito fue duplicada después de la reserva.
Queja	La información en su página web es confusa.
Queja	No me devolvieron el dinero de la cancelación a tiempo.
Queja	El vuelo de conexión se perdió por la demora del primero.
Queja	El conductor del taxi que recomendaron fue grosero.
Queja	La agencia no se responsabiliza de los errores.
Queja	La cola para entrar a la atracción era interminable.
Queja	El menú del restaurante del hotel era muy limitado.
Queja	No me explicaron bien las condiciones del viaje.
Queja	El autobús de la excursión se averió en el camino.
Queja	La maleta llegó dañada.
Queja	El personal del aeropuerto fue muy descortés.
Queja	No hay suficiente personal para atender a los clientes.
Queja	El hotel estaba en una zona muy insegura.
Queja	La cama era incómoda.
Queja	El traslado prometido no me llevó al destino correcto.
Queja	Me cambiaron el horario del tour sin avisar.
Queja	El paquete no incluía las entradas que me dijeron.
Queja	El baño de la habitación olía mal.
Queja	El aire acondicionado hacía mucho ruido.
Queja	La televisión no funcionaba en la habitación.
Queja	El minibar estaba vacío o sin reponer.
Queja	La llave de la habitación no funcionaba.
Queja	Me dieron una cama doble en lugar de dos individuales.
Queja	El servicio de limpieza no pasó por mi habitación.
Queja	Me trataron de forma despectiva.
Queja	La comida del buffet estaba fría.
Queja	No había agua caliente en la ducha.
Queja	La cortina de la ducha estaba rota.
Queja	El secador de pelo no funcionaba.
Queja	La nevera de la habitación no enfriaba.
Queja	El teléfono de la habitación no funcionaba.
Queja	La luz de la habitación estaba fundida.
Queja	No me ayudaron con el equipaje.
Queja	El ascensor estaba estropeado.
Queja	La puerta de la habitación no cerraba bien.
Queja	No había jabón ni champú en el baño.
Queja	El espejo del baño estaba roto.
Queja	La silla de la habitación estaba coja.
Queja	El armario de la habitación estaba roto.
Queja	No había suficientes perchas en el armario.
Queja	El suelo de la habitación estaba sucio.
Queja	Las ventanas de la habitación no se abrían.
Queja	El balcón de la habitación estaba sucio.
Queja	El servicio de lavandería fue muy caro y lento.
Queja	El servicio de niñera no estaba disponible.
Queja	El gimnasio del hotel estaba mal equipado.
Queja	La piscina estaba demasiado fría.
Queja	El jacuzzi no funcionaba.
Queja	El spa del hotel estaba cerrado.
Queja	No había suficientes tumbonas en la piscina.
Queja	La música del hotel era muy ruidosa.
Queja	El parking del hotel era muy caro.
Queja	El servicio de taxis del hotel era muy lento.
Queja	No había información sobre el transporte público.
Queja	La zona de juegos para niños estaba en mal estado.
Queja	El personal del bar era poco amable.
Queja	La máquina de café de la habitación no funcionaba.
Queja	No me proporcionaron la cuna para el bebé.
Queja	La silla de ruedas no cabía por la puerta.
Queja	La rampas para sillas de ruedas eran insuficientes.
Queja	No había señalización clara.
Queja	El horario de la cena era muy temprano.
Queja	La variedad del desayuno era escasa.
Queja	La fruta del desayuno no estaba fresca.
Queja	El café del desayuno era horrible.
Queja	Los zumos del desayuno eran de concentrado.
Queja	No reponían el pan en el desayuno.
Queja	Las mesas del restaurante no estaban limpias.
Queja	El camarero tardó mucho en atendernos.
Queja	La comida llegó fría.
Queja	El plato no era lo que pedí.
Queja	La porción era demasiado pequeña.
Queja	El precio era excesivo para la calidad.
Queja	No me trajeron la cuenta a tiempo.
Queja	El restaurante estaba muy ruidoso.
Queja	La reserva del restaurante no estaba registrada.
Queja	El personal del restaurante era descortés.
Queja	La limpieza de los baños comunes era deficiente.
Queja	El olor en el pasillo era insoportable.
Queja	El ascensor tardaba mucho en llegar.
Queja	La presión del agua en los grifos era baja.
Queja	El agua de la piscina estaba turbia.
Queja	El mobiliario de la habitación era viejo.
Queja	Los enchufes no funcionaban.
Queja	No había suficientes tomas de corriente.
Queja	La almohada tenía manchas.
Queja	El colchón era demasiado blando.
Queja	El edredón no estaba limpio.
Queja	Las sábanas no estaban planchadas.
Queja	El sistema de calefacción no funcionaba.
Queja	La alarma de incendios se disparó sin motivo.
Queja	El servicio de despertador falló.
Queja	No había suficiente luz en la habitación.
Queja	Las persianas no cerraban bien.
Queja	El ruido del exterior era constante.
Queja	La vista desde la ventana era horrible.
Queja	El balcón no era seguro.
Queja	La silla del balcón estaba rota.
Queja	El tendedero del balcón estaba sucio.
Queja	La jardinera del balcón estaba seca.
Queja	La papelera de la habitación estaba llena.
Queja	El cenicero de la habitación estaba sucio.
Queja	La caja fuerte no funcionaba.
Queja	El servicio de portería era lento.
Queja	No me abrieron la puerta.
Queja	No me ayudaron con las maletas.
Queja	El personal de seguridad era intimidante.
Queja	El check-out fue muy lento.
Queja	Me cobraron una tarifa extra no especificada.
Queja	No me dieron el recibo.
Queja	Me dieron una habitación sin ventana.
Queja	La habitación olía a humedad.
Queja	La pintura de la pared estaba descascarada.
Queja	El techo tenía goteras.
Queja	El suelo estaba pegajoso.
Queja	Las cortinas estaban sucias.
Queja	Los muebles estaban dañados.
Queja	El control remoto no funcionaba.
Queja	La bombilla del baño estaba fundida.
Queja	El grifo goteaba.
Queja	El inodoro no funcionaba bien.
Queja	No había papel higiénico.
Queja	El champú era de mala calidad.
Queja	El gel de ducha no hacía espuma.
Queja	El acondicionador no hidrataba.
Queja	El jabón no olía bien.
Queja	Las toallas eran ásperas.
Queja	El albornoz estaba manchado.
Queja	Las zapatillas eran demasiado pequeñas.
Queja	El agua de la ducha estaba fría.
Queja	La mampara de la ducha no cerraba.
Queja	La bañera estaba sucia.
Queja	El desagüe de la ducha estaba atascado.
Queja	El espejo estaba empañado.
Queja	La luz del espejo no funcionaba.
Queja	El bote de basura estaba lleno.
Queja	No había bolsas de basura.
Queja	El teléfono no tenía línea.
Queja	El reloj despertador no funcionaba.
Queja	El radio no funcionaba.
Queja	El lector de DVD no funcionaba.
Queja	El adaptador de corriente no encajaba.
Queja	El cargador no cargaba.
Queja	La plancha no calentaba.
Queja	La tabla de planchar estaba rota.
Queja	La cafetera estaba sucia.
Queja	El café no era de buena calidad.
Queja	El azúcar estaba húmedo.
Queja	Las tazas estaban sucias.
Queja	La cucharilla estaba manchada.
Queja	El agua de la tetera no hervía.
Queja	El hielo no estaba disponible.
Queja	El hielo no estaba limpio.
Queja	El vaso de hielo estaba sucio.
Queja	El abrebotellas no funcionaba.
Queja	El sacacorchos no funcionaba.
Queja	El abrelatas no funcionaba.
Queja	Las tijeras no cortaban.
Queja	El bolígrafo no escribía.
Queja	El papel estaba arrugado.
Queja	El sobre estaba abierto.
Queja	El lápiz no tenía punta.
Queja	La goma de borrar estaba dura.
Queja	El borrador no borraba.
Queja	El sacapuntas no afilaba.
Queja	La regla estaba rota.
Queja	El clip estaba doblado.
Queja	La grapadora no tenía grapas.
Queja	El perforador no perforaba.
Queja	La cinta adhesiva no pegaba.
Queja	El pegamento no pegaba.
Queja	Las pilas del control remoto estaban gastadas.
Queja	No había baterías de repuesto.
Queja	El adaptador USB no funcionaba.
Queja	El cable de red no funcionaba.
Queja	El teclado estaba pegajoso.
Queja	El ratón no se movía.
Queja	El monitor no encendía.
Queja	La impresora no imprimía.
Queja	El escáner no escaneaba.
Queja	El fax no enviaba.
Queja	El altavoz no sonaba.
Queja	El micrófono no captaba la voz.
Queja	Los auriculares no funcionaban.
Queja	El proyector no se veía bien.
Queja	La pantalla estaba sucia.
Queja	La pizarra no se podía borrar.
Queja	Los rotuladores estaban secos.
Queja	El borrador de pizarra no borraba.
Queja	El puntero láser no funcionaba.
Queja	Las pilas del puntero láser estaban gastadas.
Queja	No había suficiente luz en la sala de reuniones.
Queja	El aire acondicionado de la sala de reuniones no funcionaba.
Queja	La silla de la sala de reuniones estaba rota.
Queja	La mesa de la sala de reuniones estaba inestable.
Queja	El proyector de la sala de reuniones estaba mal configurado.
Queja	El ordenador de la sala de reuniones no funcionaba.
Queja	El wifi de la sala de reuniones no funcionaba.
Queja	El teléfono de la sala de reuniones no tenía línea.
Queja	La pizarra de la sala de reuniones estaba sucia.
Queja	Los rotuladores de la sala de reuniones estaban secos.
Queja	El borrador de la sala de reuniones no borraba.
Queja	La pantalla de la sala de reuniones estaba sucia.
Queja	El control remoto del proyector no funcionaba.
Queja	Las pilas del control remoto del proyector estaban gastadas.
Queja	La luz de la sala de reuniones parpadeaba.
Queja	El termostato de la sala de reuniones no funcionaba.
Queja	La puerta de la sala de reuniones no cerraba bien.
Sugerencia	Sería bueno ofrecer más opciones de pago.
Sugerencia	Deberían incluir un seguro de viaje básico en todos los paquetes.
Sugerencia	Consideren añadir tours de aventura más extremos.
Sugerencia	Podrían mejorar la claridad de los requisitos de visa.
Sugerencia	Sugiero crear una app móvil para gestionar reservas.
Sugerencia	Propongo tener más asesores disponibles en línea.
Sugerencia	Estaría bien que las confirmaciones lleguen más rápido.
Sugerencia	Les recomiendo ofrecer opciones de vuelos ecológicos.
Sugerencia	Pienso que deberían diversificar los destinos de playa.
Sugerencia	Qué tal si añaden paquetes para viajes en solitario.
Sugerencia	Sugiero que incorporen clases de cocina local en los tours.
Sugerencia	Consideren ampliar los horarios de atención al cliente.
Sugerencia	Propongo un programa de puntos para clientes frecuentes.
Sugerencia	Deberían tener un chatbot para preguntas frecuentes.
Sugerencia	Estaría bien que el sitio web fuera más intuitivo.
Sugerencia	Sugiero que la información de los hoteles sea más detallada.
Sugerencia	Podrían ofrecer paquetes con transporte terrestre incluido.
Sugerencia	Qué tal si organizan viajes temáticos, como literarios o de cine.
Sugerencia	Les recomiendo mejorar la accesibilidad para personas con discapacidad.
Sugerencia	Propongo que haya más opciones de comida vegetariana en los tours.
Sugerencia	Deberían incluir tips de viaje y guías culturales en los paquetes.
